posX,posY,team_possession,frame
,,,0
5807.0176,5260.796,1,80811111
,,,0
5807.0176,5260.796,1,80811111
5850.941,5044.3604,1,81618414
5860.7656,5131.5425,1,82425717
6495.6294,5630.06,1,83233020
5994.8027,5083.4517,1,84040323
6120.9062,3568.0908,1,84847626
4936.724,6638.166,1,85654929
6388.4023,2700.813,1,86462232
6020.3584,3336.4578,1,87269535
10010.314,2848.5222,0,88076838
,,,0
5807.0176,5260.796,1,80811111
5850.941,5044.3604,1,81618414
5860.7656,5131.5425,1,82425717
6495.6294,5630.06,1,83233020
5994.8027,5083.4517,1,84040323
6120.9062,3568.0908,1,84847626
4936.724,6638.166,1,85654929
6388.4023,2700.813,1,86462232
6020.3584,3336.4578,1,87269535
10010.314,2848.5222,0,88076838
,,,88884141
